RADIO LISTENING,A ASCULTA LA RADIO
PARENTAL CENSORSHIP,ACORDUL PĂRINȚILOR
TRADE AGREEMENTS,ACORDURI COMERCIALE
INTERNATIONAL AGREEMENTS,ACORDURI INTERNAȚIONALE
TERRORIST ACTS,ACTE DE TERORISM
ENVIRONMENTALISTS,ACTIVIŞTI ÎN DOMENIUL MEDIULUI 
ARTISTIC ACTIVITIES,ACTIVITĂȚI ARTISTICE
ONLINE BANKING,ACTIVITĂȚI BANCARE ONLINE
CULTURAL ACTIVITIES,ACTIVITĂȚI CULTURALE
GUERRILLA ACTIVITIES,ACTIVITĂȚI DE GHERILĂ
LEISURE TIME ACTIVITIES,ACTIVITĂȚI DE TIMP LIBER
EXTRACURRICULAR ACTIVITIES,ACTIVITĂȚI EXTRACURRICULARE
PHYSICAL ACTIVITIES,ACTIVITĂȚI FIZICE
OUTDOOR PURSUITS,ACTIVITĂȚI ÎN AER LIBER
POLICE ACTIVITIES,ACTIVITĂȚI POLIȚIENEȘTI
SOCIAL ACTIVITIES (LEISURE),ACTIVITĂȚI SOCIALE (TIMP LIBER)
SUBVERSIVE ACTIVITIES,ACTIVITĂȚI SUBVERSIVE
ECONOMIC ACTIVITY,ACTIVITATEA ECONOMICĂ A FORȚEI DE MUNCĂ
PERFORMERS,ACTORI
ACUPUNCTURE,ACUPUNCTURĂ
ACOUSTICS,ACUSTICĂ
SHELTERED HOUSING,ADĂPOST PENTRU PERSOANE VULNERABILE
SOCIAL ADJUSTMENT,ADAPTARE SOCIALĂ
CHURCH ADMINISTRATION,ADMINISTRAȚIA BISERICILOR
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI
LOCAL GOVERNMENT,ADMINISTRAȚIA LOCALĂ
HOSPITAL ADMINISTRATION,ADMINISTRAȚIA SPITALULUI
ADMINISTRATION,ADMINISTRAȚIE
EDUCATIONAL ADMINISTRATION,ADMINISTRAȚIE EDUCAȚIONALĂ
PUBLIC ADMINISTRATION,ADMINISTRAȚIE PUBLICĂ
PERSONNEL MANAGEMENT,ADMINISTRARE DE PERSONAL
CULTURAL PLANNING AND ADMINISTRATION,ADMINISTRARE ȘI PLANIFICARE CULTURALĂ
EDUCATIONAL PLANNING AND ADMINISTRATION,ADMINISTRARE ȘI PLANIFICARE EDUCAȚIONALĂ
BUSINESS ADMINISTRATION,ADMINISTRAREA AFACERILOR
PERSONAL FINANCE MANAGEMENT,ADMINISTRAREA FINANȚELOR PERSONALE
ADMINISTRATION OF DRUGS,ADMINISTRAREA MEDICAMENTELOR
ENVIRONMENTAL MANAGEMENT,ADMINISTRAREA MEDIULUI
PRODUCTION MANAGEMENT,ADMINISTRAREA PRODUCȚIEI
RESOURCES MANAGEMENT,ADMINISTRAREA RESURSELOR
ADMINISTRATORS,ADMINISTRATORI
EDUCATIONAL ADMINISTRATORS,ADMINISTRATORI ÎN DOMENIUL EDUCAȚIONAL
EDUCATIONAL ADMISSION,ADMITEREA ÎN SISTEMUL EDUCAȚIONAL
ADOLESCENCE,ADOLESCENȚĂ
ADOLESCENTS,ADOLESCENȚI
ADOPTION,ADOPȚIE
ADULTS,ADULȚI
UNITED NATIONS GENERAL ASSEMBLY,ADUNAREA GENERALĂ A NAȚIUNILOR UNITE
AIR CONDITIONING,AER CONDIȚIONAT
AIRCRAFT,AERONAVĂ
AIRPORTS,AEROPORTURI
HUMAN SETTLEMENT,AȘEZĂRI UMANE
BUSINESSES,AFACERI
SMALL BUSINESSES,AFACERI MICI
FOOT DISORDERS,AFECȚIUNI ALE PICIOARELOR
DIGESTIVE SYSTEM DISORDERS,AFECȚIUNI ALE SISTEMULUI DIGESTIV
SPINAL DISORDERS,AFECȚIUNI ALE SPATELUI
DENTAL DISEASES,AFECȚIUNI DENTARE
GENITAL DISORDERS,AFECȚIUNI GENITALE
MUSCULOSKELETAL DISEASES,AFECȚIUNI MUSCULO-SCHELETICE
UROGENITAL DISORDERS,AFECȚIUNI UROGENITALE
UROLOGIC DISEASES,AFECȚIUNI UROLOGICE
MEMBERSHIP,AFILIERE
RELIGIOUS AFFILIATION,AFILIERE RELIGIOASĂ
ESTATE AGENTS,AGENȚI IMOBILIARI
ASSAULT,AGRESIUNE
SEXUAL ASSAULT,AGRESIUNE SEXUALĂ
AGGRESSIVENESS,AGRESIVITATE
SUBSISTENCE AGRICULTURE,AGRICULTURĂ DE SUBZISTENȚĂ
AIRBAGS,AIRBAG
WAR RELIEF,AJUTOARE DE RĂZBOI
AIDS FOR THE DISABLED,AJUTOARE PENTRU PERSOANE CU DIZABILITĂȚI
WAR VETERANS' BENEFITS,AJUTOARE PENTRU VETERANI ȘI VĂDUVE DE RĂZBOI
SOCIAL SECURITY BENEFITS,AJUTOARE SOCIALE
FOOD AID,AJUTOR ALIMENTAR
DEATH ALLOWANCES,AJUTOR DE DECES
STATE LEGAL AID,AJUTOR DE STAT LEGAL
HOUSING BENEFITS,AJUTOR DE STAT PENTRU LOCUINȚĂ
ECONOMIC AID,AJUTOR ECONOMIC
FINANCIAL SUPPORT,AJUTOR FINANCIAR 
STATE AID,AJUTOR GUVERNAMENTAL
DISASTER RELIEF,AJUTOR ÎN CAZ DE CALAMITĂȚI
HOME HELP,AJUTOR LA DOMICILIU
MILITARY AID,AJUTOR MILITAR
DEVELOPMENT AID (INTERNATIONAL),AJUTOR PENTRU DEZVOLTARE (INTERNAȚIONAL)
DEVELOPMENT AID (NATIONAL),AJUTOR PENTRU DEZVOLTARE (NAȚIONAL)
SOCIAL ASSISTANCE,AJUTOR SOCIAL
VOLUNTARY AID,AJUTOR VOLUNTAR
BREAST-FEEDING,ALĂPTARE
ALCOHOLISM,ALCOOLISM
CONSTITUENTS,ALEGĂTORI
CHOICE,ALEGERE
EDUCATIONAL CHOICE,ALEGERE EDUCAȚIONALĂ
ELECTIONS,ALEGERI
CHURCH ELECTIONS,ALEGERI ÎN RÂNDUL CLERICILOR
BY-ELECTIONS,ALEGERI INTERIMARE
LOCAL GOVERNMENT ELECTIONS,ALEGERI LOCALE
NATIONAL ELECTIONS,ALEGERI NAȚIONALE
PARLIAMENTARY ELECTIONS,ALEGERI PARLAMENTARE
PRESIDENTIAL ELECTIONS,ALEGERI PREZIDENȚIALE
OCCUPATIONAL CHOICE,ALEGERI PROFESIONALE
EUROPEAN PARLIAMENT ELECTIONS,ALEGERILE PENTRU PARLAMENTUL EUROPEAN
PATHS,ALEI
RUNNING,ALERGARE ȘI ATLETISM
ALLERGIES,ALERGII
LITERACY,ALFABETIZARE
NUMERACY,ALFABETIZARE ARITMETICĂ
LITERACY AND NUMERACY EDUCATION,ALFABETIZARE ȘI EDUCAȚIE ARITMETICĂ
INTERNATIONAL ALLIANCES,ALIANȚE INTERNAȚIONALE
SOCIAL ALIENATION,ALIENARE SOCIALĂ
ENERGY SUPPLY,ALIMENTARE CU ENERGIE
ELECTRIC POWER SUPPLY,ALIMENTARE CU ENERGIE ELECTRICĂ
GAS SUPPLY,ALIMENTARE CU GAZ
FOOD,ALIMENTE
GENETICALLY MODIFIED FOOD,ALIMENTE MODIFICATE GENETIC
MATERNITY PAY,ALOCAȚIE DE MATERNITATE
ALTITUDE,ALTITUDINE
LANDSLIDES,ALUNECĂRI DE PĂMÂNT
VERTIGO,AMEȚEALĂ
BILLS,AMENDAMENTE
TERRORIST THREATS,AMENINȚĂRI TERORISTE
FINES,AMENZI
AMNESTY,AMNISTIE
LOCATION,AMPLASAMENT
LOCATION OF INDUSTRY,AMPLASAMENT INDUSTRIAL
TRAVELLERS' SITES,AMPLASAMENTE PENTRU NOMAZI
LOCATION OF FARMS,AMPLASAREA FERMELOR
SITES,AMPLASĂRI (LOCURI)
EDUCATIONAL YEAR,AN ȘCOLAR
GAP YEAR,AN DE PAUZĂ ÎN TIMPUL STUDIILOR
ILLITERATES,ANALFABEȚI
ILLITERACY,ANALFABETISM
CONTENT ANALYSIS,ANALIZĂ DE CONȚINUT
CONTEXTUAL ANALYSIS,ANALIZĂ DE CONTEXT
DATA ANALYSIS,ANALIZĂ DE DATE
ECONOMIC ANALYSIS,ANALIZĂ ECONOMICĂ
LINGUISTIC ANALYSIS,ANALIZĂ LINGVISTICĂ
MULTIVARIATE ANALYSIS,ANALIZĂ MULTIVARIATĂ
SOCIO-ECONOMIC ANALYSIS,ANALIZĂ SOCIO-ECONOMICĂ
STATISTICAL ANALYSIS,ANALIZĂ STATISTICĂ
ANALYSIS,ANALIZE
ANARCHISM,ANARHIE
ANATOMY,ANATOMIE
INQUESTS,ANCHETE
HEALTH PROFESSIONALS,ANGAJAȚI ÎN SERVICIILE DE SĂNĂTATE
TELEWORKERS,ANGAJAȚI ÎN TELEVIZIUNE
OFFICE WORKERS,ANGAJAȚII DIN BIROURI
FINANCIAL COMMITMENTS,ANGAJAMENTE FINANCIARE
EMPLOYMENT,ANGAJARE
PART-TIME EMPLOYMENT,ANGAJARE CU JUMĂTATE DE NORMĂ
FULL-TIME EMPLOYMENT,ANGAJARE CU NORMĂ ÎNTREAGĂ
EMPLOYMENT ABROAD,ANGAJARE ÎN STRĂINĂTATE
TEMPORARY EMPLOYMENT,ANGAJARE TEMPORARĂ
WOMEN'S EMPLOYMENT,ANGAJAREA FEMEILOR
YOUTH EMPLOYMENT,ANGAJAREA TINERILOR
EMPLOYERS,ANGAJATORI
ANIMALS,ANIMALE
AQUATIC ANIMALS,ANIMALE ACVATICE
HOUSEHOLD PETS,ANIMALE DE CASĂ
LABORATORY ANIMALS,ANIMALE DE LABORATOR
DOMESTIC ANIMALS,ANIMALE DOMESTICE
WILD ANIMALS,ANIMALE SĂLBATICE
ANNIVERSARIES,ANIVERSĂRI
SEASONS,ANOTIMPURI
ANOXIA,ANOXIE
EXTORTION,ȘANTAJ
MOBILE PHONE MASTS,ANTENE DE TELEFONIE MOBILĂ
ANTIBIOTICS,ANTIBIOTICE
ANTIQUITIES,ANTICHITĂȚI
ANTI-SEMITISM,ANTISEMITISM
SPORTS TRAINING,ANTRENAMENT SPORTIV
ENTREPRENEURS,ANTREPRENORI
ANTHROPOLOGY,ANTROPOLOGIE
ANXIETY,ANXIETATE
SURFACE WATER,APĂ DE SUPRAFAȚĂ
DEFENCE,APĂRARE
ADVOCACY (LEGAL),APĂRARE (LEGALĂ)
NUCLEAR DEFENCE,APĂRARE ANTINUCLEARĂ
CIVIL DEFENCE,APĂRARE CIVILĂ
APARTMENTS,APARTAMENTE
HIGH RISE FLATS,APARTAMENTE ÎN BLOCURI ÎNALTE ȘI FOARTE ÎNALTE
TRADE UNION MEMBERSHIP,APARTENEȚA LA SINDICAT
POLITICAL ALLEGIANCE,APARTENENȚĂ POLITICĂ
APATHY,APATIE
APPEALS (LEGAL),APEL (JURIDIC)
TELEPHONE CALLS,APELURI TELEFONICE
COMPUTER APPLICATIONS,APLICAȚII ALE CALCULATORULUI
WATER SUPPLY,APROVIZIONARE CU APĂ
CITIZENSHIP SKILLS,APTITUDINI CETĂȚENEȘTI
ARRANGEMENT OF WORKING TIME,ARANJAMENTUL TIMPULUI DE LUCRU
ARREST,AREST
ARCHAEOLOGY,ARHEOLOGIE
ARCHITECTS,ARHITECȚI
ARCHITECTURE,ARHITECTURĂ
RECIPIENT COUNTRIES,ȚĂRI BENEFICIARE
DEVELOPED COUNTRIES,ȚĂRI DEZVOLTATE
DONOR COUNTRIES,ȚĂRI DONATOARE
DEVELOPING COUNTRIES,ȚĂRI ÎN CURS DE DEZVOLTARE
ARITHMETIC,ARITMETICĂ
ARMIES,ARMATE
SUNBURN,ARSURI SOLARE
PHOTOGRAPHIC ART,ARTĂ FOTOGRAFICĂ
PERFORMING ARTS,ARTA SPECTACOLULUI
ARTS,ARTE
VISUAL ARTS,ARTE VIZUALE
ARTHRITIS,ARTRITĂ
ASSASSINATION,ASASINARE
ELEVATORS,ASCENSOR
LISTENING,ASCULTARE
INSURANCE,ASIGURARE
MEDICAL INSURANCE,ASIGURARE MEDICALĂ
LIFE INSURANCE,ASIGURĂRI DE VIAȚĂ
AID,ASISTENȚĂ INTERNAȚIONALĂ
MEDICAL CARE,ASISTENȚĂ MEDICALĂ
SOCIAL WORK,ASISTENȚĂ SOCIALĂ
TECHNICAL ASSISTANCE,ASISTENȚĂ TEHNICĂ
SOCIAL WORKERS,ASISTENȚI SOCIALI
YOUTH WORKERS,ASISTENȚI SOCIALI PENTRU TINERI
CLASSROOM ASSISTANTS,ASISTENT PROFESOR
NURSES,ASISTENTE MEDICALE
ASSOCIATIONS,ASOCIAȚII
MOTORING ASSOCIATIONS,ASOCIAȚII ALE AUTOMOBILIȘTILOR
WAR VETERANS ASSOCIATIONS,ASOCIAȚII ALE VETERANILOR DE RĂZBOI
TRADE ASSOCIATIONS,ASOCIAȚII COMERCIALE
CULTURAL ASSOCIATIONS,ASOCIAȚII CULTURALE
FARMERS ASSOCIATIONS,"ASOCIAȚII DE FERMIERI, AGRICULTORI ȘI CRESCĂTORI DE ANIMALE"
EDUCATIONAL ASSOCIATIONS,ASOCIAȚII EDUCAȚIONALE
PROFESSIONAL ASSOCIATIONS,ASOCIAȚII PROFESIONALE
RURAL ASSOCIATIONS,ASOCIAȚII RURALE
"POLITICAL, SOCIAL AND ECONOMIC ISSUES","ASPECTE ECONOMICE, SOCIALE ȘI POLITICE"
HOUSING ECONOMICS,ASPECTELE ECONOMICE ALE UNEI LOCUINȚE
ASPIRATION,ASPIRAȚIE
ASTHMA,ASTM
ASTROLOGY,ASTROLOGIE
ASTRONOMY,ASTRONOMIE
ATHEISM,ATEISM
EXPECTATION,AȘTEPTĂRI
EDUCATIONAL EXPECTATIONS,AȘTEPTĂRI EDUCAȚIONALE
FINANCIAL EXPECTATIONS,AȘTEPTĂRI FINANCIARE
VOCATIONAL EDUCATION CERTIFICATES,ATESTAT VOCAȚIONAL
PARENT ATTITUDE,ATITUDINE PARENTALĂ
WORK ATTITUDE,ATITUDINEA FAȚĂ DE MUNCĂ
ATTITUDES,ATITUDINI
POLITICAL ATTITUDES,ATITUDINI POLITICE
SOCIAL ATTITUDES,ATITUDINI SOCIALE
INTERPERSONAL ATTRACTION,ATRACȚIE INTERPERSONALĂ
BUSES,AUTOBUZE
SELF-DISCIPLINE,AUTO-DISCIPLINĂ
AUTOMATION,AUTOMATIZARE
AUTONOMY AT WORK,AUTONOMIE LA LOCUL DE MUNCĂ
AUTHORS,AUTORI
LOCAL EDUCATION AUTHORITIES,AUTORITĂȚI EDUCAȚIONALE LOCALE
AUTHORITARIANISM,AUTORITARIANISM
AUTHORITY,AUTORITATE
TEACHER AUTHORITY,AUTORITATEA PROFESORULUI
SELF-SERVICE,AUTOSERVIRE
HITCHHIKING,AUTOSTOP
MOTOR VEHICLES,AUTOVEHICULE CU MOTOR
HEARING,AUZ
AVALANCHES,AVALANȘE
WEALTH,AVERE
LAWYERS,AVOCAȚI
ABORTION (INDUCED),AVORT (INDUS)
MISCARRIAGE,AVORT SPONTAN
BOYS,BĂIEȚI
BALANCE OF PAYMENTS,BALANȚA PLĂȚILOR
BANKS,BĂNCI
BROADBAND,BANDĂ DE FRECVENȚE
YOUTH GANGS,BANDE DE TINERI
MONEY,BANI
POCKET MONEY,BANI DE BUZUNAR
DAMS,BARAJE
MEN,BĂRBAȚI
MARRIED MEN,BĂRBAȚI CĂSĂTORIȚI
HOUSE HUSBANDS,BĂRBAȚI CASNICI
BOATS,BĂRCI
OLD AGE,BĂTRÂNEȚE
MILITARY BASES,BAZE MILITARE
NUCLEAR BASES,BAZE NUCLEARE
SWIMMING POOLS,BAZINE DE ÎNOT
SICKNESS AND DISABILITY BENEFITS,BENEFICII ALE BOLNAVILOR ȘI PERSOANELOR CU DIZABILITĂȚI
CARERS' BENEFITS,BENEFICII ALE PERSOANELOR CARE OFERĂ ÎNGRIJIRI
FRINGE BENEFITS,BENEFICII EXTRA-SALARIALE
FAMILY BENEFITS,BENEFICII FAMILIALE
OCCUPATIONAL ACCIDENTS AND DISEASES BENEFITS,BENEFICII ÎN CAZ DE ACCIDENTE DE MUNCĂ ȘI BOLI
OLD AGE BENEFITS,BENEFICII PENTRU BĂTRÂNI
UNEMPLOYMENT BENEFITS,BENEFICII PENTRU ȘOMERI
PARENTAL BENEFITS,BENEFICII PENTRU PĂRINȚI
PENSION BENEFITS,BENEFICII PENTRU PENSIONARI
SICK PAY,BENEFICIU PE TERMEN SCURT ÎN CAZ DE BOALĂ
LIBRARIANS,BIBLIOTECARI
LIBRARIES,BIBLIOTECI
EDUCATIONAL LIBRARIES,BIBLIOTECI EDUCAȚIONALE
MOBILE LIBRARIES,BIBLIOTECI MOBILE
PUBLIC LIBRARIES,BIBLIOTECI PUBLICE
BICYCLES,BICICLETE
BIGAMY,BIGAMIE
BILINGUALISM,BILINGVISM
BIOCHEMISTRY,BIOCHIMIE
BIOLOGY,BIOLOGIE
HUMAN BIOLOGY,BIOLOGIE UMANĂ
BIOTECHNOLOGY,BIOTEHNOLOGIE
BUREAUCRACY,BIROCRAȚIE
CHURCH,BISERICĂ
CHURCH AND EDUCATION,BISERICĂ ȘI EDUCAȚIE
CHURCH AND STATE,BISERICĂ ȘI STAT
BISEXUALITY,BISEXUALITATE
CREUTZFELDT-JAKOB DISEASE,BOALA CREUTZFELDT-JAKOB 
DISEASES,BOLI
EAR DISEASES,BOLI ALE APARATULUI AUDITIV
RESPIRATORY TRACT DISEASES,BOLI ALE APARATULUI RESPIRATOR
BRONCHIAL DISEASES,BOLI ALE BRONHIILOR
BRAIN DISEASES,BOLI ALE CREIERULUI
IMMUNE SYSTEM DISEASES,BOLI ALE SISTEMULUI IMUNITAR
LYMPHATIC SYSTEM DISEASES,BOLI ALE SISTEMULUI LIMFATIC
NERVOUS SYSTEM DISEASES,BOLI ALE SISTEMULUI NERVOS
CENTRAL NERVOUS SYSTEM DISEASES,BOLI ALE SISTEMULUI NERVOS CENTRAL
BILIARY TRACT DISEASES,BOLI ALE TRACTULUI BILIAR
JOINT DISEASES,BOLI ARTICULARE
BACTERIAL AND VIRUS DISEASES,BOLI BACTERIOLOGICE ȘI VIRALE
CARDIOVASCULAR DISEASES,BOLI CARDIOVASCULARE
SEXUALLY TRANSMITTED DISEASES,BOLI CU TRANSMITERE SEXUALĂ
LIVER DISEASES,BOLI DE FICAT
HEART DISEASES,BOLI DE INIMĂ
NUTRITIONAL AND METABOLIC DISEASES,BOLI DE NUTRIȚIE ȘI DE METABOLISM
SKIN DISEASES,BOLI DE PIELE
LUNG DISEASES,BOLI DE PLĂMÂNI
GENETIC DISORDERS,BOLI GENETICE
HAEMATOLOGIC DISEASES,BOLI HEMATOLOGICE
EYE DISEASES,BOLI OCULARE
BONE DISEASES,BOLI OSOASE
OCCUPATIONAL DISEASES,BOLI PROFESIONALE
RHEUMATIC DISEASES,BOLI REUMATICE
VASCULAR DISEASES,BOLI VASCULARE
SICK PERSONS,BOLNAVI
TERMINALLY ILL,BOLNAVI ÎN FAZĂ TERMINALĂ
MENTALLY ILL,BOLNAVI MENTAL
BONUS PAYMENTS,BONUSURI SALARIALE
BOTANY,BOTANICĂ
BAPTISMS,BOTEZURI
PATENTS,BREVETE
BRONCHITIS,BRONȘITĂ
SUNTANNING,BRONZARE
POLICE BRUTALITY,BRUTALITATE POLIȚIENEASCĂ
BUDDHISM,BUDISM
BUDGETS,BUGETE
LOCAL AUTHORITY BUDGETS,BUGETE ALE AUTORITĂȚILOR LOCALE
EDUCATIONAL INSTITUTION BUDGETS,BUGETE ALE INSTITUȚIILOR DE ÎNVĂȚĂMÂNT
HOUSEHOLD BUDGETS,BUGETE DE GOSPODĂRIE
STATE BUDGETS,BUGETE DE STAT
TIME BUDGETS,BUGETE DE TIMP
EDUCATIONAL BUDGETS,BUGETE PENTRU EDUCAȚIE
COMPANY BUDGETS,BUGETELE COMPANIILOR
EDUCATIONAL WELFARE,BUNĂSTARE EDUCAȚIONALĂ
SOCIAL WELFARE,BUNĂSTARE SOCIALĂ
CHILD WELFARE,BUNĂSTAREA COPILULUI
GRANDPARENTS,BUNICI
ASSETS,BUNURI
CONSUMER GOODS,BUNURI DE CONSUM
SCHOLARSHIPS,BURSE
WEEDS,BURUIENI
NERVOUS BREAKDOWN,CĂDERE NERVOASĂ
SCHOOLTEACHERS,CADRE DIDACTICE DE ȘCOALĂ
SPECIAL EDUCATION TEACHERS,CADRE DIDACTICE PENTRU EDUCAȚIE SPECIALĂ
COFFEE (CROP),CAFEA (RECOLTĂ)
HORSES,CAI
RAILWAY TRACKS,CĂI FERATE
DOGS,CÂINI
GUIDE DOGS,CÂINI ÎNSOȚITORI
DISASTERS,CALAMITĂȚI
"HAZARDS, ACCIDENTS AND DISASTERS","CALAMITĂȚI, ACCIDENTE ȘI RISCURI"
TRAVEL,CĂLĂTORIE
RAILWAY TRAVEL,CĂLĂTORIE CU TRENUL
SEA TRAVEL,CĂLĂTORIE MARITIMĂ
AIR TRAVEL,CĂLĂTORII AERIENE
BUSINESS TRIPS,CĂLĂTORII ÎN INTERES DE SERVICIU
COMPUTERS,CALCULATOARE
QUALIFICATIONS,CALIFICĂRI
OCCUPATIONAL QUALIFICATIONS,CALIFICĂRI PROFESIONALE
TEACHER QUALIFICATIONS,CALIFICĂRILE CADRELOR DIDACTICE
QUALITY,CALITATE
QUALITY OF EDUCATION,CALITATEA EDUCAȚIEI
ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI
QUALITY OF LIFE,CALITATEA VIEȚII
NUNS,CĂLUGĂRIȚE
LOWER HOUSE,CAMERA DEPUTAȚILOR
TRUCKS,CAMIOANE
ELECTION CAMPAIGNS,CAMPANII ELECTORALE
POLITICAL CAMPAIGNS,CAMPANII POLITICE
CANALS,CANALE
TELEVISION CHANNELS,CANALE DE TELEVIZIUNE
RADIO STATIONS,CANALE RADIO
SEWAGE,CANALIZARE
CANCER,CANCER
SKIN CANCER,CANCER DE PIELE
LUNG CANCER,CANCER PULMONAR
PRESIDENTIAL CANDIDATES,CANDIDAȚI LA PREȘEDENȚIE
PARLIAMENTARY CANDIDATES,CANDIDAȚI PARLAMENTARI
SINGERS,CÂNTĂREȚI
CANTEENS,CANTINE
QUANTITY,CANTITATE
HEAD (BODY PART),CAP (PARTE A CORPULUI)
CINEMA CAPACITY,CAPACITATEA CINEMATOGRAFULUI
READING READINESS,CAPACITATEA DE A CITI
THEATRE CAPACITY,CAPACITATEA TEATRULUI
HEADS OF HOUSEHOLD,CAPI DE GOSPODĂRIE
CAPITAL,CAPITAL
CAPITALISM,CAPITALISM
GOATS,CAPRE 
MANAGERIAL CHARACTERISTICS,CARACTERISTICILE CONDUCERII
COAL,CĂRBUNE
CAREER,CARIERĂ
NEIGHBOURHOODS,CARTIERE
CARTOGRAPHY,CARTOGRAFIE
MARRIAGE,CĂSĂTORIE
WEDDINGS,CĂSĂTORII
MIXED MARRIAGES,CĂSĂTORII MIXTE
MARRIED,CĂSĂTORIT
HOUSES,CASE
PAWNSHOPS,CASE DE AMANET
SECOND HOMES,CASE DE VACANȚĂ
CATARACTS,CATARACTĂ
CAPITAL GAINS,CÂȘTIG DE CAPITAL
AVERAGE EARNINGS,CÂȘTIGURI MEDII
CATHOLICISM,CATOLICISM
BAIL,CAUȚIUNE
JOB HUNTING,CĂUTAREA UNUI LOC DE MUNCĂ
CAUSES OF DEATH,CAUZE ALE MORȚII
TIED HOUSING,CAZARE ASIGURATĂ PRIN LOCUL DE MUNCĂ (DE ANGAJATOR)
FURNISHED ACCOMMODATION,CAZARE ÎN APARTAMENT MOBILAT
UNFURNISHED ACCOMMODATION,CAZARE ÎN APARTAMENT NEMOBILAT
TOURIST ACCOMMODATION,CAZARE TURISTICĂ
COURT CASES,CAZURI JUDECĂTOREȘTI
CELEBRITIES,CELEBRITĂȚI
SINGLEHOOD,CELIBAT
NUCLEAR POWER STATIONS,CENTRALE NUCLEARE
COMMUNITY CENTRES,CENTRE COMUNITARE
RESEARCH CENTRES,CENTRE DE CERCETARE
TRAINING CENTRES,CENTRE DE FORMARE
RECREATION AND LEISURE CENTRES,CENTRE DE RECREERE ȘI PETRECERE A TIMPULUI LIBER
HEALTH CLUBS,CENTRE DE SĂNĂTATE
MEDICAL CENTRES,CENTRE MEDICALE
SPORTS CENTRES,CENTRE SPORTIVE
URBAN CENTRES,CENTRE URBANE
CENSORSHIP,CENZURĂ
DEER (FARMED),CERBI ȘI CĂPRIOARE DE FERMĂ
RESEARCH,CERCETARE
AGRICULTURAL RESEARCH,CERCETARE AGRICOLĂ
APPLIED RESEARCH,CERCETARE APLICATĂ
CULTURAL RESEARCH,CERCETARE CULTURALĂ
MARKET RESEARCH,CERCETARE DE PIAȚĂ
