Preferred Term,UF
APĂRARE CIVILĂ,APĂRARE NAȚIONALĂ
APĂRARE CIVILĂ,PROTECȚIE CIVILĂ
APARTENENȚĂ POLITICĂ,AFILIERE POLITICĂ
APARTENENȚĂ POLITICĂ,APARTENENȚA LA PARTIDE POLITICE
APARTENENȚĂ POLITICĂ,CREDINȚĂ POLITICĂ
APROVIZIONARE CU APĂ,ALIMENTARE CU APĂ
ȚĂRI ÎN CURS DE DEZVOLTARE,TĂRILE LUMII A TREIA
ARTE VIZUALE,ARTĂ
ASCENSOR,LIFT
ASCULTARE,OBICEIURI DE ASCULTARE
ASIGURARE,COMPANII DE ASIGURĂRI
ASIGURARE MEDICALĂ,ASIGURARE DE SĂNĂTATE
ASISTENȚĂ INTERNAȚIONALĂ,AJUTOR STRĂIN
ASISTENȚĂ MEDICALĂ,ÎNGRIJIRE MEDICALĂ
ASISTENȚĂ MEDICALĂ,TRATAMENT MEDICAL
ASISTENT PROFESOR,SUPLINITOR
ASISTENTE MEDICALE,ASISTENȚI COMUNITARI
ASISTENTE MEDICALE,ASISTENTE COMUNITARE
ASPIRAȚIE,AMBIȚIE
ASPIRAȚIE,SPERANȚĂ
ASTROLOGIE,HOROSCOP
ASTROLOGIE,SEMNE DIN NAȘTERE
ATESTAT VOCAȚIONAL,ATESTAT DE INSTRUIRE VOCAȚIONALĂ
ATITUDINI,OPINII
AUTO-DISCIPLINĂ,AUTO-CONTROL
AVERE,PROSPERITATE
BĂNCI,BĂNCI MOBILE
BANDĂ DE FRECVENȚE,BROADBAND
BANDĂ DE FRECVENȚE,LAȚIMEA TRAFICULUI DE DATE
BANDE DE TINERI,GĂȘTI DE TINERI
BĂRBAȚI,GEN MASCULIN
BENEFICII ALE BOLNAVILOR ȘI PERSOANELOR CU DIZABILITĂȚI,ALOCAȚII PENTRU PERSOANELE CU DIZABILITĂȚI
BENEFICII ALE BOLNAVILOR ȘI PERSOANELOR CU DIZABILITĂȚI,BENEFICII PENTRU PERSOANELE BOLNAVE
BENEFICII ALE BOLNAVILOR ȘI PERSOANELOR CU DIZABILITĂȚI,BENEFICII PENTRU PERSOANELE CU DIZABILITĂȚI
BENEFICII ALE BOLNAVILOR ȘI PERSOANELOR CU DIZABILITĂȚI,BENEFICII PENTRU REFACERE
BENEFICII FAMILIALE,ALOCAȚIA COPILULUI
BENEFICII FAMILIALE,BENEFICII ALE COPILULUI
BENEFICII ÎN CAZ DE ACCIDENTE DE MUNCĂ ȘI BOLI,BENEFICII ÎN CAZ DE ACCIDENTE LA LOCUL DE MUNCĂ
BENEFICII ÎN CAZ DE ACCIDENTE DE MUNCĂ ȘI BOLI,COMPENSAȚII ÎN CAZ DE ACCIDENTE LA LOCUL DE MUNCĂ
BENEFICII PENTRU PĂRINȚI,CONCEDIU DE CREȘTERE A COPILULUI
BENEFICII PENTRU PĂRINȚI,CONCEDIU MATERNAL
BENEFICII PENTRU PĂRINȚI,ÎNDEMNIZAȚII DE CREȘTERE A COPILULUI
BENEFICII PENTRU PĂRINȚI,ÎNDEMNIZAȚII DE MATERNITATE
BENEFICII PENTRU PENSIONARI,VALOAREA PUNCTULUI DE PENSIE
BENEFICII PENTRU PENSIONARI,VENIT DIN PENSI
BIBLIOTECI EDUCAȚIONALE,BIBLIOTECI ȘCOLARE
BIBLIOTECI EDUCAȚIONALE,BIBLIOTECI LICEALE
BIBLIOTECI EDUCAȚIONALE,BIBLIOTECI UNIVERSITARE
BOLI ALE SISTEMULUI IMUNITAR,BOLI AUTOIMUNE
BOLI ALE SISTEMULUI IMUNITAR,BOLI IMUNOLOGICE
BOLI ALE SISTEMULUI IMUNITAR,TULBURĂRI ALE SISTEMULUI IMUNITAR
BOLI ALE SISTEMULUI IMUNITAR,TULBURĂRI AUTOIMUNE
BOLI ALE SISTEMULUI NERVOS,BOLI NEUROLOGICE
BOLI ALE TRACTULUI BILIAR,TULBURĂRI ALE TRACTULUI BILIAR
BOLI BACTERIOLOGICE ȘI VIRALE,BOLI CONTAGIOASE
BOLI BACTERIOLOGICE ȘI VIRALE,BOLI INFECȚIOASE
BOLI BACTERIOLOGICE ȘI VIRALE,BOLI TRANSMISIBILE
BOLI BACTERIOLOGICE ȘI VIRALE,INFECȚII BACTERIALE
BOLI BACTERIOLOGICE ȘI VIRALE,INFECȚII VIRALE
BOLI CU TRANSMITERE SEXUALĂ,BOLI VENERICE
BOLI CU TRANSMITERE SEXUALĂ,BTS
BOLI CU TRANSMITERE SEXUALĂ,ITS
BOLI DE INIMĂ,ANGINĂ PECTORALĂ
BOLI DE INIMĂ,ATAC DE CORD
BOLI DE INIMĂ,BOALĂ CARDIACĂ
BOLI DE INIMĂ,BOLI CORONARIENE
BOLI DE INIMĂ,INFARCT MIOCARDIC
BOLI DE NUTRIȚIE ȘI DE METABOLISM,BOLI DE NUTRIȚIE
BOLI DE NUTRIȚIE ȘI DE METABOLISM,BOLI METABOLICE
BOLI DE NUTRIȚIE ȘI DE METABOLISM,TULBURĂRI DE NUTRIȚIE
BOLI DE NUTRIȚIE ȘI DE METABOLISM,TULBURĂRI METABOLICE
BOLI GENETICE,BOLI EREDITARE
BOLI GENETICE,DEFECTE GENETICE
BOLI GENETICE,TULBURĂRI EREDITARE
BOLI HEMATOLOGICE,ANEMIE
BOLI HEMATOLOGICE,BOLI DE SÂNGE
BOLI PROFESIONALE,AFECȚIUNI PROFESIONALE
BOLI PROFESIONALE,BOLI INDUSTRIALE
BOLI VASCULARE,ACCIDENT CARDIO-VASCULAR
BOLI VASCULARE,ACCIDENT VASCULAR
BOLI VASCULARE,FLEBITĂ
BOLI VASCULARE,HEMOROIZI
BOLI VASCULARE,HIPERTENSIUNE
BOLI VASCULARE,HIPOTENSIUNE
BREVETE,PATENTE
BUDISM,BUDIȘTI
BUGETE ALE INSTITUȚIILOR DE ÎNVĂȚĂMÂNT,BUGETE ALE ȘCOLILOR
BUGETE ALE INSTITUȚIILOR DE ÎNVĂȚĂMÂNT,BUGETE ALE UNIVERSITĂȚILOR
BUGETE DE GOSPODĂRIE,BUGETE DE FAMILIE
BUGETE DE STAT,BUGET NAȚIONAL
BUNĂSTAREA COPILULUI,PROTECȚIA COPILULUI
BURUIENI,IERBURI
CÂINI ÎNSOȚITORI,CÂINI CĂLĂUZĂ
CĂLĂTORIE,EXCURSII
CĂLĂTORII AERIENE,ZBORURI (CĂLĂTORII)
CALCULATOARE,COMPUTER PERSONAL
CALCULATOARE,HARDWARE
CALCULATOARE,MICROCALCULATOARE
CALCULATOARE,PC
CALCULATOARE,SISTEME DE CALCULATOARE
CALCULATOARE,STAȚII DE LUCRU (CALCULATOARE)
CALIFICĂRI PROFESIONALE,CALIFICĂRI PENTRU LOCUL DE MUNCĂ
CALIFICĂRI PROFESIONALE,CALIFICĂRI VOCAȚIONALE
CĂLUGĂRIȚE,MAICI
CANCER DE PIELE,MELANOM
CAPITALISM,SISTEME CAPITALISTE
CĂSĂTORII,CEREMONII MATRIMONIALE
CATOLICISM,CATOLICI
CATOLICISM,ROMANO CATOLICISM
CATOLICISM,ROMANO-CATOLICI
CATOLICISM,ROMANO-CATOLICISM
CAZURI JUDECĂTOREȘTI,PROCESE
CELIBAT,BURLĂCIE
CENTRE COMUNITARE,CĂMIN CULTURAL
CENTRE DE SĂNĂTATE,SĂLI DE SPORT
CENTRE MEDICALE,CENTRE CHIRURGICALE
CENTRE MEDICALE,CLINICI
CENTRE MEDICALE,SĂLI DE OPERAȚIE
CENTRE URBANE,CENTRUL ORAȘULUI
CERCETARE ȘI DEZVOLTARE,CERCETARE INDUSTRIALĂ
CERCETARE ȘI DEZVOLTARE,CERCETARE-DEZVOLTARE
CERCETARE ÎN DOMENIUL PLANULUI DE ÎNVĂȚĂMÂNT,CERCETAREA CURRICULEI
CERCETARE ȘTIINȚIFICĂ,CERCETARE TEHNOLOGICĂ
CERCETAREA AUDIENȚELOR,CERCETAREA AUDIENȚEI
CERCETAREA AUDIENȚELOR,CERCETAREA PUBLICURILOR
CERTIFICATE EDUCAȚIONALE,CALIFICARE EDUCAȚIONALĂ
CERTIFICATE EDUCAȚIONALE,CERTIFICAT DE FORMARE EDUCAȚIONALĂ
CERTIFICATE EDUCAȚIONALE,DIPLOMĂ EDUCAȚIONALĂ
CHELTUIALĂ PUBLICĂ,CHELTUIELI ADMINISTRATIVE
CHELTUIALĂ PUBLICĂ,TĂIERI ALE CHELTUIELILOR PUBLICE
CHELTUIELI CULTURALE,COSTURI CULTURALE
CHELTUIELI EDUCAȚIONALE,COSTURI EDUCAȚIONALE
CHELTUIELI PENTRU BUNĂSTARE SOCIALĂ,CHELTUIELI PENTRU BUNĂSTARE
CHIUL,ABSENTEISM NEMOTIVAT
CIUMĂ,CIUMĂ BUBONICĂ
CIUMĂ,CIUMĂ PNEUMONICĂ
CLĂDIRI ISTORICE,LISTA CLĂDIRILOR DIN ZONA ISTORICĂ A ORAȘELOR
CLĂDIRI PENTRU ACTIVITĂȚI RELIGIOASE,BISERICI
CLĂDIRI PENTRU ACTIVITĂȚI RELIGIOASE,CAPELE
CLĂDIRI PENTRU ACTIVITĂȚI RELIGIOASE,CATEDRALE
CLĂDIRI PENTRU ACTIVITĂȚI RELIGIOASE,CLĂDIRI ALE BISERICILOR
CLĂDIRI PENTRU ACTIVITĂȚI RELIGIOASE,LĂCAȘURI DE CULT
CLUBURI,CLUBURI SOCIALE
CLUBURI PENTRU VÂRSTNICI,CLUBURI PENTRU BĂTRÂNI
COLECȚII DE MUZEU,OBIECTE DE MUZEU
ȘCOLI CONFESIONALE,ȘCOLI BISERICEȘTI
ȘCOLI CONFESIONALE,ȘCOLI CATOLICE
ȘCOLI CONFESIONALE,ȘCOLI ISLAMICE
ȘCOLI CONFESIONALE,ȘCOLI PROTESTANTE
ȘCOLI CONFESIONALE,ȘCOLI RELIGIOASE
ȘCOLI CONFESIONALE,ȘCOLI TEOLOGICE
ȘCOLI DE STAT,ȘCOLI FINANȚATE DE STAT
ȘCOLI DE STAT,ȘCOLI PUBLICE
ȘCOLI DE TIP INTERNAT,ȘCOLI CU INTERNAT
ȘCOLI DE TIP INTERNAT,EDUCAȚIE DE TIP INTERNAT
ȘCOLI PENTRU PERSOANE CU DIZABILITĂȚI,ȘCOLI SPECIALE
COMERȚ ELECTRONIC,E-COMERȚ
COMERCIALIZARE,DISTRIBUȚIE
COMERCIALIZARE,MARKETING
COMERCIALIZARE,PROMOVAREA VÂNZĂRILOR
COMPANII,CORPORAȚII
COMPANII,SOCIETATE CU RESPONSABILITATE LIMITATĂ
COMPANII,SOCIETATE PE ACȚIUNI
COMPANII TRANSNAȚIONALE,COMPANII INTERNAȚIONALE
COMPANII TRANSNAȚIONALE,COMPANII MULTINAȚIONALE
COMPANII TRANSNAȚIONALE,ÎNTREPRINDERI INTERNAȚIONALE
COMPANII TRANSNAȚIONALE,ÎNTREPRINDERI MULTINAȚIONALE
COMPETENȚE DIDACTICE,COMPETENȚE PEDAGOGICE
COMPONENȚA AUDIENȚELOR,COMPONENȚA PUBLICULUI
COMPORTAMENT ANTISOCIAL,COMPORTAMENT DEVIANT
COMPORTAMENT MORAL,ACȚIUNI MORALE
COMPORTAMENT UMAN,COMPORTAMENT
COMPORTAMENT UMAN,CONDUITĂ
COMUNICAȚII PRIN TELEFONIE MOBILĂ,MESAJ SMS
COMUNICAȚII PRIN TELEFONIE MOBILĂ,MESAJ TEXT
COMUNICAȚII PRIN TELEFONIE MOBILĂ,MSG
COMUNICAȚII PRIN TELEFONIE MOBILĂ,SMS
COMUNICARE DE MASĂ,COMUNICARE ÎN MASĂ
COMUNISM,COMUNIȘTI
COMUNITĂȚI,COMUNITĂȚI LOCALE
COMUNITĂȚI,MEDIU COMUNITAR
CONCEPTE MORALE,BINE
CONCEPTE MORALE,RĂU
CONCURENȚĂ INTERNAȚIONALĂ,COMPETITORI STRĂINI
CONDIȚII CULTURALE,MODELE CULTURALE
CONDIȚII DE ANGAJARE A UNUI CADRU DIDACTIC,CONDIȚIILE DE MUNCĂ ALE UNUI CADRU DIDACTIC
CONDIȚII DE LOCUIT,CONDENS
CONDIȚII DE LOCUIT,DETERIORAREA CASELOR
CONDIȚII DE LOCUIT,IGRASIE
CONDIȚII DE LOCUIT,MUCEGAI
CONDIȚII DE LOCUIT,UMEZEAZĂ
CONDIȚII DE TRAI,CONDIȚTII DE VIAȚĂ
CONDIȚII ECONOMICE,MEDIU DE AFACERI
CONDUCERE,LEADERSHIP
CONDUCERE INDUSTRIALĂ,MANAGEMENT INDUSTRIAL
CONFERINȚE,CONGRESE
CONFERINȚE,CONVENȚII (CONFERINȚE)
CONFLICT DE CLASĂ,LUPTĂ DE CLASĂ
CONFLICT INTERPERSONAL,ABUZ VERBAL
CONFLICT INTERPERSONAL,CERTURI
CONFLICT INTERPERSONAL,NEÎNȚELEGERI
CONFLICT NUCLEAR,RĂZBOI NUCLEAR
CONFLICT RASIAL,CONFLICT ETNIC
CONFLICT RASIAL,CONFLICT INTER-ETNIC
CONFLICT RASIAL,MILITANȚI DE CULOARE
CONFLICT RASIAL,TENSIUNI ETNICE
CONFLICT RASIAL,TENSIUNI INTER-ETNICE
CONFLICT RASIAL,TENSIUNI INTER-RASIALE
CONFLICT RASIAL,VIOLENȚĂ INTER-RASIALĂ
CONFORMISM SOCIAL,NONCONFORMISM
CONFORMISM SOCIAL,NONCONFORMIȘTI
CONSILII DE ADMINISTRAȚIE (EDUCAȚIE),DECAN
CONSILII DE ADMINISTRAȚIE (EDUCAȚIE),DIRECTOR DE ȘCOALĂ
CONSILII DE ADMINISTRAȚIE (EDUCAȚIE),DIRECTOR DE LICEU
CONSILII DE ADMINISTRAȚIE (EDUCAȚIE),RECTOR
CONSULTANȚĂ FINANCIARĂ,CONSILIERE FINANCIARĂ
CONSUM DE ENERGIE,CONSUM DE CARBURANȚI
CONSUM DE ENERGIE ELECTRICĂ,CONSUM DE ELECTRICITATE
CONSUM DE ENERGIE ELECTRICĂ,CONSUMUL ENERGIEI ELECTRICE
CONTRACTE COLECTIVE,ÎNȚELEGERI SALARIALE
CONTRACTE DE MUNCĂ,CONTRACT DE ANGAJARE
CONTRIBUȚII PENTRU PENSII,CONTRIBUȚII LA FONDUL DE PENSII
CONTRIBUȚII PENTRU PENSII,CONTRIBUȚII PENTRU PENSIONARE
CONTRIBUȚII PENTRU PENSII,CONTRIBUȚIILE ANGAJAȚILOR
CONTRIBUȚII SOCIALE,CONTRIBUȚII DE ASIGURĂRI NAȚIONALE
CONTRIBUȚII SOCIALE,CONTRIBUȚII DE ASIGURĂRI SOCIALE
CONTROL ALIMENTAR,IGIENĂ ALIMENTARĂ
CONTROL ALIMENTAR,SIGURANȚĂ ALIMENTARĂ
CONTROL BUGETAR,BUGETARE
CONTROLUL DURERII,AMELIORAREA DURERII
CONVIEȚUIRE,COHABITARE
COOPERARE,COLABORARE
COOPERARE INTERNAȚIONALĂ,COLABORARE INTERNAȚIONALĂ
COOPERARE INTERNAȚIONALĂ,COLABORARE REGIONALĂ
COOPERARE INTERNAȚIONALĂ,COOPERARE REGIONALĂ
COOPERARE ȘTIINȚIFICĂ,COLABORARE ȘTIINȚIFICĂ
COOPERARE ȘTIINȚIFICĂ,COOPERARE TEHNOLOGICĂ
COOPERARE ȘTIINȚIFICĂ,COOPERARE ȘTIINȚIFICĂ INTENRAȚIONALĂ
COOPERARE ȘTIINȚIFICĂ,COPPERARE ÎN DOMENUL CERCETĂRII
COPII,COPIL
COPII ADOPTAȚI,COPII INFIAȚI
COPII DE ȘCOALĂ,ELEVI
COPII DE ȘCOALĂ,ELEVI DE ȘCOALĂ PRIMARĂ
COPII DE ȘCOALĂ,ELEVI DE GIMNAZIU
CORESPONDENȚĂ,POȘTĂ
CORUPȚIE,MITĂ
CREANȚE,DATORII
CREDINȚE RELIGIOASE,CREDINȚE SPIRITUALE
CREȘE ȘI GRĂDINIȚE CU PROGRAM DE ZI,SERVICII DE ÎNGRIJIRE A COPILULUI CU PROGRAM DE ZI
CREȘTINISM,CREȘTINI
CRITICĂ LITERARĂ,HERMENEUTICĂ
CRIZĂ ENERGETICĂ,DEFICIENȚĂ DE ENERGIE
CRIZĂ ENERGETICĂ,LIPSĂ DE ENRGIE
CULTURĂ,SISTEME CULTURALE
CULTURĂ DE MASĂ,CULTURĂ POPULARĂ
CUMPĂRĂTURI,COȘ DE CONSUM
CUMUL DE FUNCȚII,LOCURI DE MUNCĂ SECUNDARE
CUNOȘTINȚE DE VOCABULAR,FOLOSIREA VOCABULARULUI
CURȚI SUPREME DE JUSTIȚIE,ÎNALTA CURTE DE CASAȚIE ȘI JUSTIȚIE
CURȚILE UNIUNII EUROPENE,CURȚI ALE COMUNITĂȚII EUROPENE
CURSURI ÎN TEHNOLOGIA INFORMAȚIEI,INSTRUIRE ÎN TEHNOLOGIA INFORMAȚIEI
DANS,BALET
DANS,DANS MODERN
DANS,DANS SPORTIV
DATE ANTROPOMETRICE,DIMENSIUNI CORPORALE
DATE ANTROPOMETRICE,MĂSURĂTORI CORPORALE
DATE DE RECENSĂMÂNT,RECENSĂMINTE
DĂUNĂTORI ,PARAZIȚI
DECALAJ ÎNTRE GENERAȚII,CONFLICTUL DINTRE GENERAȚII
DECEDAȚI ÎN RĂZBOI,MORȚI ÎN RĂZBOI
DEFECTE,ANOMALII
DEFICIENȚE DE AUZ,DEFECTE AUDITIVE
DEFICIENȚE DE AUZ,DIZABILITĂȚI AUDITIVE
DEFICIENȚE DE AUZ,HANDICAP AUDITIV
DEFICIENȚE DE AUZ,PIERDERE AUDITIVĂ BILATERALĂ
DEFICIENȚE DE AUZ,PIERDERE AUDITIVĂ UNILATERALĂ
DEFICIENȚE SENZORIALE,HANDICAP SENZORIAL
DEFICIT DE UNITĂȚI LOCATIVE,LISTE DE AȘTEPTARE PENTRU LOCUINȚE
DEGRADAREA MEDIULUI,DETERIORAREA MEDIULUI
DEMENȚĂ SENILĂ,BOALA ALZHEIMER
DEPLASĂRI INTERNAȚIONALE,A CĂLĂTORI ÎN STRĂINĂTATE
DEPRIVARE PARENTALĂ,DEPRIVARE MATERNALĂ
DEPRIVARE PARENTALĂ,DEPRIVARE PATERNALĂ
DEPRIVARE PARENTALĂ,PĂRINȚI ABSENȚI
DEPRIVARE PARENTALĂ,PĂRINTE ABSENT
DERMATITĂ,ECZEME
DESCENDENȚI,DESCENDENȚI ADULȚI
DESCENDENȚI,FII
DESCENDENȚI,FIICE
DESFACEREA CĂSĂTORIEI,DESFACEREA PARTENERIATELOR CIVILE
DESFACEREA CĂSĂTORIEI,DISOLUȚIE CONJUGALĂ
DESFACEREA CĂSĂTORIEI,RUPEREA CĂSĂTORIEI
DESFACEREA CĂSĂTORIEI,SEPARARE MARITALĂ
DESFIINȚAREA AFACERILOR,LICHIDAREA AFACERILOR
DEVALORIZARE,DEPRECIERE
DEVALORIZARE MONETARĂ,DEVALORIZAREA BANILOR
DEZARMARE,DEZARMARE NUCLEARĂ
DEZAVANTAJ SOCIAL,DEPRIVARE SOCIALĂ
DEZINTEGRARE FAMILIALĂ,DEZINTEGRAREA FAMILIEI
DEZINTEGRARE FAMILIALĂ,FUGA DE ACASĂ
DEZINTEGRARE FAMILIALĂ,PROBLEME MARITALE
DEZVOLTARE,ÎMBUNĂTĂȚIRI
DEZVOLTARE AGRICOLĂ,ÎMBUNĂTĂȚIRI AGRICOLE
DEZVOLTARE DE SINE,DEZVOLTARE PERSONALĂ
DEZVOLTARE EDUCAȚIONALĂ,ÎMBUNĂTĂȚIREA EDUCAȚIEI
DEZVOLTARE EDUCAȚIONALĂ,PROGRES EDUCAȚIONAL
DEZVOLTARE FIZIOLOGICĂ,DEZVOLTARE FIZICĂ
DEZVOLTARE MENTALĂ,DEZVOLTARE INTELECTUALĂ
DEZVOLTARE SOCIO-ECONOMICĂ,DEZVOLTARE ECONOMICĂ
DEZVOLTARE SOCIO-ECONOMICĂ,DEZVOLTARE SOCIALĂ
DIETĂ ȘI NUTRIȚIE,DIETE
DIETĂ ȘI NUTRIȚIE,OBICEIURI DE NUTRIȚIE
DIETE MEDICALE,TERAPIE CU MINERALE
DIETE MEDICALE,TERAPIE CU VITAMINE
DIETE MEDICALE,TERAPIE PRIN NUTRIȚIE
DIFICULTĂȚI DE ÎNVĂȚARE,DIZABILITĂȚI DE ÎNVĂȚARE
DIFUZARE ȘI TRANSMISIE NAȚIONALĂ DE PROGRAME AUDIOVIZUALE,TVR
DIPLOMAȚIE,ACTIVITATE DIPLOMATICĂ
DISCRIMINARE PE BAZA ORIENTĂRII SEXUALE,HOMOFOBIE
DISCRIMINARE PE CRITERII LINGVISTICE,BARIERE LINGVISTICE
DISCRIMINARE PE CRITERII RELIGIOASE,PERSECUȚIE RELIGIOASĂ
DISCRIMINARE PE CRITERII RELIGIOASE,PREJUDECATĂ PE CRITERII RELIGIOASE
DISCRIMINARE RASIALĂ,INEGALITATE RASIALĂ
DISPEPSIE,INDIGESTIE
DISPOZITIVE OPTICE,APARATE OPTICE
DISTRIBUȚIA VENITURILOR,REDISTRIBUIREA VENITURILOR
DISTRUGERI,DAUNE INTENȚIONATE
DISTRUGERI,DISTRUGERE
DISTRUGERI,GRAFITTI
DISTRUGERI,VANDALISM
DIZABILITĂȚI,HANDICAP
DIZABILITĂȚI FIZICE,HANDICAP FIZIC
DOCTRINE RELIGIOASE,CONCEPTE RELIGIOASE
DOCTRINE RELIGIOASE,DIAVOLI
DOCTRINE RELIGIOASE,EDEN
