Preferred Term,RO PT,Role,Relationship PT,RO Relationship PT
ABILITY GROUPING,GRUPARE DUPĂ COMPETENȚE,BT        ,EDUCATIONAL GROUPING,GRUPARE EDUCAȚIONALĂ
ABILITY GROUPING,GRUPARE DUPĂ COMPETENȚE,RT        ,ABILITY,COMPETENȚĂ
ABILITY GROUPING,GRUPARE DUPĂ COMPETENȚE,RT        ,ABILITY EVALUATION,EVALUAREA COMPETENȚEI
ABILITY GROUPING,GRUPARE DUPĂ COMPETENȚE,RT        ,ACADEMIC ABILITY,ABILITATE ACADEMICĂ
ABORTION (INDUCED),AVORT (INDUS),BT        ,OBSTETRIC SURGERY,CHIRURGIE OBSTETRICĂ
ABORTION (INDUCED),AVORT (INDUS),RT        ,BIRTH CONTROL METHODS,METODE DE CONTRACEPȚIE
ABORTION (INDUCED),AVORT (INDUS),RT        ,CHILDBIRTH,NAȘTERE
ABORTION (INDUCED),AVORT (INDUS),RT        ,FAMILY PLANNING,PLANIFICARE FAMILIALĂ
ABORTION (INDUCED),AVORT (INDUS),RT        ,GYNAECOLOGY,GINECOLOGIE
ABORTION (INDUCED),AVORT (INDUS),RT        ,LABOUR COMPLICATIONS,COMPLICAȚII LA TRAVALIU
ABORTION (INDUCED),AVORT (INDUS),RT        ,MISCARRIAGE,AVORT SPONTAN
ABORTION (INDUCED),AVORT (INDUS),RT        ,OBSTETRICS,OBSTETRICĂ
ABSENTEEISM,ABSENTEISM,BT        ,LEAVE,CONCEDIU
ABUSE,ABUZ,BT        ,SOCIAL PROBLEMS,PROBLEME SOCIALE
ABUSE,ABUZ,NT        ,DRUG ABUSE,RO_DRUG ABUSE
ABUSE,ABUZ,NT        ,SOLVENT ABUSE,ABUZ DE SOLVENȚI
ABUSE,ABUZ,RT        ,ADDICTION,DEPENDENȚĂ
ABUSE,ABUZ,RT        ,ANTISOCIAL BEHAVIOUR,COMPORTAMENT ANTISOCIAL
ABUSE,ABUZ,RT        ,ASSAULT,AGRESIUNE
ABUSE OF THE ELDERLY,ABUZUL VÂRSTNICILOR,BT        ,CRIMES AGAINST PERSONS,INFRACȚIUNI ÎMPOTRIVA PERSOANELOR
ABUSE OF THE ELDERLY,ABUZUL VÂRSTNICILOR,BT        ,SOCIAL PROBLEMS,PROBLEME SOCIALE
ABUSE OF THE ELDERLY,ABUZUL VÂRSTNICILOR,RT        ,CARE OF THE ELDERLY,ÎNGRIJIREA BĂTRÂNILOR
ABUSE OF THE ELDERLY,ABUZUL VÂRSTNICILOR,RT        ,DOMESTIC VIOLENCE,VIOLENȚĂ DOMESTICĂ
ABUSE OF THE ELDERLY,ABUZUL VÂRSTNICILOR,RT        ,ELDERLY,VÂRSTNICI
ACADEMIC ABILITY,ABILITATE ACADEMICĂ,BT        ,ABILITY,COMPETENȚĂ
ACADEMIC ABILITY,ABILITATE ACADEMICĂ,RT        ,ABILITY GROUPING,GRUPARE DUPĂ COMPETENȚE
ACADEMIC ABILITY,ABILITATE ACADEMICĂ,RT        ,ACADEMIC ACHIEVEMENT,REUȘITĂ ACADEMICĂ
ACADEMIC ABILITY,ABILITATE ACADEMICĂ,RT        ,EDUCATIONAL ASSESSMENT,EVALUARE EDUCAȚIONALĂ
ACADEMIC ABILITY,ABILITATE ACADEMICĂ,RT        ,EDUCATIONAL GROUPING,GRUPARE EDUCAȚIONALĂ
ACADEMIC ABILITY,ABILITATE ACADEMICĂ,RT        ,EDUCATIONAL LEVELS,NIVELURI EDUCAȚIONALE
ACADEMIC ACHIEVEMENT,REUȘITĂ ACADEMICĂ,BT        ,ACHIEVEMENT,REALIZARE
ACADEMIC ACHIEVEMENT,REUȘITĂ ACADEMICĂ,RT        ,ACADEMIC ABILITY,ABILITATE ACADEMICĂ
ACADEMIC ACHIEVEMENT,REUȘITĂ ACADEMICĂ,RT        ,EDUCATIONAL CERTIFICATES,CERTIFICATE EDUCAȚIONALE
ACADEMIC ACHIEVEMENT,REUȘITĂ ACADEMICĂ,RT        ,EDUCATIONAL LEVELS,NIVELURI EDUCAȚIONALE
ACADEMIC ACHIEVEMENT,REUȘITĂ ACADEMICĂ,RT        ,EDUCATIONAL PSYCHOLOGY,PSIHOLOGIE EDUCAȚIONALĂ
ACADEMIC DEPARTMENTS,INSTITUTE DE CERCETARE ȘI FACULTĂȚI,BT        ,EDUCATIONAL ADMINISTRATION,ADMINISTRAȚIE EDUCAȚIONALĂ
ACADEMIC FREEDOM,LIBERTATEA MEDIULUI ACADEMIC,BT        ,CIVIL AND POLITICAL RIGHTS,DREPTURI CIVILE ȘI POLITICE
ACADEMIC FREEDOM,LIBERTATEA MEDIULUI ACADEMIC,RT        ,RIGHT TO EDUCATION,DREPTUL LA EDUCAȚIE
ACCESS TO COUNTRYSIDE,ACCES LA ZONE RURALE,BT        ,COUNTRYSIDE,REGIUNE RURALĂ
ACCESS TO COUNTRYSIDE,ACCES LA ZONE RURALE,NT        ,RIGHT OF WAY,DREPTUL DE TRECERE
ACCESS TO COUNTRYSIDE,ACCES LA ZONE RURALE,RT        ,OUTDOOR PURSUITS,ACTIVITĂȚI ÎN AER LIBER
ACCESS TO EDUCATION,ACCES LA EDUCAȚIE,BT        ,EDUCATIONAL OPPORTUNITIES,OPORTUNITĂȚI EDUCAȚIONALE
ACCESS TO EDUCATION,ACCES LA EDUCAȚIE,RT        ,EDUCATIONAL DISCRIMINATION,DISCRIMINARE EDUCAȚIONALĂ
ACCESS TO EDUCATION,ACCES LA EDUCAȚIE,RT        ,EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE
ACCESS TO EDUCATION,ACCES LA EDUCAȚIE,RT        ,RIGHT TO EDUCATION,DREPTUL LA EDUCAȚIE
ACCESS TO FACILITIES,ACCES LA INFRASTRUCTURĂ,BT        ,FACILITIES,INFRASTRUCTURĂ
ACCESS TO HEALTH SERVICES,ACCES LA SERVICII DE SĂNĂTATE,BT        ,HEALTH SERVICES,SERVICII DE SĂNĂTATE
ACCESS TO INFORMATION,ACCES LA INFORMAȚIE,BT        ,COMMUNICATION CONTROL,CONTROLUL COMUNICAȚIILOR
ACCESS TO INFORMATION,ACCES LA INFORMAȚIE,RT        ,CENSORSHIP,CENZURĂ
ACCESS TO INFORMATION,ACCES LA INFORMAȚIE,RT        ,INFORMATION TRANSFER,TRANSFER INFORMAȚIONAL
ACCESS TO INFORMATION,ACCES LA INFORMAȚIE,RT        ,INFORMATION USE,UTILIZAREA INFORMAȚIEI
ACCESS TO INFORMATION,ACCES LA INFORMAȚIE,RT        ,RIGHT TO INFORMATION,DREPT LA INFORMAȚIE
ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY,ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,BT        ,INFORMATION AND COMMUNICATIONS TECHNOLOGY,TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR
ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY,ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,NT        ,INFORMATION RETRIEVAL,RECUPERAREA INFORMAȚIILOR
ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY,ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,NT        ,INTERNET ACCESS,ACCES LA INTERNET
ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY,ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,RT        ,INFORMATION SOCIETY,SOCIETATE INFORMAȚIONALĂ
ACCESS TO INFORMATION AND COMMUNICATIONS TECHNOLOGY,ACCES LA TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,RT        ,INTERNET USE,UTILIZAREA INTERNETULUI
ACCIDENTS,ACCIDENTE,BT        ,HAZARDS, ACCIDENTS AND DISASTERS
ACCIDENTS,ACCIDENTE,NT        ,ACCIDENTS AT WORK,ACCIDENTE DE MUNCĂ
ACCIDENTS,ACCIDENTE,NT        ,ACCIDENTS IN THE HOME,ACCIDENTE CASNICE
ACCIDENTS,ACCIDENTE,NT        ,FIRE,INCENDII
ACCIDENTS,ACCIDENTE,NT        ,NUCLEAR ACCIDENTS,ACCIDENTE NUCLEARE
ACCIDENTS,ACCIDENTE,NT        ,TRANSPORT ACCIDENTS,ACCIDENTE LA TRANSPORT
ACCIDENTS,ACCIDENTE,RT        ,DANGEROUS MATERIALS,MATERIALE PERICULOASE
ACCIDENTS,ACCIDENTE,RT        ,DISASTERS,CALAMITĂȚI
ACCIDENTS,ACCIDENTE,RT        ,FIRST AID,PRIMUL AJUTOR
ACCIDENTS,ACCIDENTE,RT        ,INJURIES,RĂNI
ACCIDENTS,ACCIDENTE,RT        ,OCCUPATIONAL SAFETY,SIGURANȚĂ PROFESONALĂ
ACCIDENTS,ACCIDENTE,RT        ,RADIATION HAZARDS,RISC DE RADIAȚII
ACCIDENTS,ACCIDENTE,RT        ,RESCUE SERVICES,SERVICII DE SALVARE
ACCIDENTS,ACCIDENTE,RT        ,SAFETY AND SECURITY,PROTECȚIE ȘI SIGURANȚĂ
ACCIDENTS,ACCIDENTE,RT        ,SAFETY AND SECURITY MEASURES,MĂSURI DE PROTECȚIE ȘI SIGURANȚĂ
ACCIDENTS,ACCIDENTE,RT        ,SAFETY EQUIPMENT,ECHIPAMENT DE PROTECȚIE
ACCIDENTS AT WORK,ACCIDENTE DE MUNCĂ,BT        ,ACCIDENTS,ACCIDENTE
ACCIDENTS AT WORK,ACCIDENTE DE MUNCĂ,RT        ,INDUSTRIAL INJURIES,ACCIDENTE INDUSTRIALE
ACCIDENTS AT WORK,ACCIDENTE DE MUNCĂ,RT        ,OCCUPATIONAL SAFETY,SIGURANȚĂ PROFESONALĂ
ACCIDENTS IN THE HOME,ACCIDENTE CASNICE,BT        ,ACCIDENTS,ACCIDENTE
ACCIDENTS IN THE HOME,ACCIDENTE CASNICE,RT        ,DOMESTIC SAFETY,SIGURANȚĂ DOMESTICĂ
ACCIDENTS IN THE HOME,ACCIDENTE CASNICE,RT        ,INJURIES,RĂNI
ACCOUNTABILITY,A FI RESPONSABIL,BT        ,ETHICS,ETICĂ
ACCOUNTABILITY,A FI RESPONSABIL,NT        ,POLITICAL ACCOUNTABILITY,RESPONSABILITATE POLITICĂ
ACCOUNTANTS,CONTABILI,BT        ,WORKERS BY PROFESSION,PROFESII
ACCOUNTANTS,CONTABILI,RT        ,ACCOUNTING,CONTABILITATE
ACCOUNTANTS,CONTABILI,RT        ,OCCUPATIONS,OCUPAȚII
ACCOUNTING,CONTABILITATE,BT        ,FINANCIAL MANAGEMENT,GESTIUNE FINANCIARĂ
ACCOUNTING,CONTABILITATE,RT        ,ACCOUNTANTS,CONTABILI
ACCOUNTING,CONTABILITATE,RT        ,BUDGETS,BUGETE
ACCOUNTING,CONTABILITATE,RT        ,NATIONAL ACCOUNTING,CONTABILITATE NAȚIONALĂ
ACHIEVEMENT,REALIZARE,NT        ,ACADEMIC ACHIEVEMENT,REUȘITĂ ACADEMICĂ
ACHIEVEMENT,REALIZARE,NT        ,SOCIAL SUCCESS,SUCCES SOCIAL
ACHIEVEMENT,REALIZARE,RT        ,MOTIVATION,MOTIVAȚIE
ACHIEVEMENT,REALIZARE,RT        ,PERFORMANCE,PERFORMANȚĂ
ACHIEVEMENT,REALIZARE,RT        ,PERSONAL EFFICACY,EFICACITATE PERSONALĂ
ACHIEVEMENT,REALIZARE,RT        ,PRESTIGE,PRESTIGIU
ACID RAIN,PLOAIE ACIDĂ,BT        ,AIR POLLUTION,POLUAREA AERULUI
ACID RAIN,PLOAIE ACIDĂ,RT        ,PRECIPITATION,PLOAIE
ACOUSTICS,ACUSTICĂ,BT        ,PHYSICAL PROPERTIES,PROPRIETĂȚI FIZICE
ACOUSTICS,ACUSTICĂ,RT        ,AGRICULTURAL NOISE,ZGOMOT ÎN AGRICULTURĂ
ACOUSTICS,ACUSTICĂ,RT        ,INDUSTRIAL NOISE,ZGOMOT INDUSTRIAL
ACOUSTICS,ACUSTICĂ,RT        ,LISTENING TO MUSIC,A ASCULTA MUZICĂ
ACOUSTICS,ACUSTICĂ,RT        ,NOISE MEASUREMENTS,MĂSURĂTORI DE ZGOMOT
ACOUSTICS,ACUSTICĂ,RT        ,NOISE POLLUTION,POLUARE FONICĂ
ACOUSTICS,ACUSTICĂ,RT        ,SOUND INSULATION,IZOLAREA FONICĂ
ACOUSTICS,ACUSTICĂ,RT        ,TRAFFIC NOISE,ZGOMOT DE TRAFIC
ACUPUNCTURE,ACUPUNCTURĂ,BT        ,COMPLEMENTARY THERAPIES,TERAPII COMPLEMENTARE
ADDICTION,DEPENDENȚĂ,BT        ,SOCIAL PROBLEMS,PROBLEME SOCIALE
ADDICTION,DEPENDENȚĂ,NT        ,ALCOHOLISM,ALCOOLISM
ADDICTION,DEPENDENȚĂ,NT        ,DRUG ADDICTION,RO_DRUG ADDICTION
ADDICTION,DEPENDENȚĂ,RT        ,ABUSE,ABUZ
ADDICTION,DEPENDENȚĂ,RT        ,GAMBLING,JOCURI DE NOROC ȘI PARIURI
ADDICTION,DEPENDENȚĂ,RT        ,ILL HEALTH,PROBLEME DE SĂNĂTATE
ADDICTION,DEPENDENȚĂ,RT        ,SMOKING,FUMAT
ADDICTION,DEPENDENȚĂ,RT        ,SOLVENT ABUSE,ABUZ DE SOLVENȚI
ADMINISTRATION,ADMINISTRAȚIE,NT        ,BUSINESS ADMINISTRATION,ADMINISTRAREA AFACERILOR
ADMINISTRATION,ADMINISTRAȚIE,NT        ,CHURCH ADMINISTRATION,ADMINISTRAȚIA BISERICILOR
ADMINISTRATION,ADMINISTRAȚIE,NT        ,EDUCATIONAL ADMINISTRATION,ADMINISTRAȚIE EDUCAȚIONALĂ
ADMINISTRATION,ADMINISTRAȚIE,NT        ,GOVERNING BOARDS (ORGANIZATIONS),CONSILII DE ADMINISTRAȚIE (ORGANIZAȚII)
ADMINISTRATION,ADMINISTRAȚIE,NT        ,HOSPITAL ADMINISTRATION,ADMINISTRAȚIA SPITALULUI
ADMINISTRATION,ADMINISTRAȚIE,NT        ,PUBLIC ADMINISTRATION,ADMINISTRAȚIE PUBLICĂ
ADMINISTRATION,ADMINISTRAȚIE,RT        ,ADMINISTRATIVE HISTORY,ISTORIA ADMINISTRAȚIEI
ADMINISTRATION,ADMINISTRAȚIE,RT        ,ADMINISTRATIVE REFORM,REFORMĂ ADMINISTRATIVĂ
ADMINISTRATION,ADMINISTRAȚIE,RT        ,ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE
ADMINISTRATION,ADMINISTRAȚIE,RT        ,MANAGEMENT,MANAGEMENT
ADMINISTRATION,ADMINISTRAȚIE,RT        ,MANAGEMENT OPERATIONS,OPERAȚIUNI DE MANAGEMENT
ADMINISTRATION,ADMINISTRAȚIE,RT        ,PUBLIC ENQUIRIES,INVESTIGAȚII OFICIALE
ADMINISTRATION OF DRUGS,ADMINISTRAREA MEDICAMENTELOR,BT        ,MEDICAL TREATMENT METHODS,METODE DE TRATAMENT MEDICAL
ADMINISTRATION OF DRUGS,ADMINISTRAREA MEDICAMENTELOR,RT        ,MEDICINAL DRUGS,MEDICAMENTE
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,NT        ,COURT SUPPORT SERVICES,SERVICII DE REPREZENTARE ÎN INSTANȚĂ
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,NT        ,COURTS,INSTANȚE JUDECĂTOREȘTI
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,NT        ,CRIMINAL JUSTICE SYSTEM,SISTEMUL DE JUSTIȚIE PENALĂ
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,NT        ,OMBUDSMEN,OMBUDSMEN
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,RT        ,COURT OFFICIALS AND PERSONNEL,PROFESIUNI DIN SUBORDINEA TRIBUNALELOR ȘI CURȚILOR DE JUDECATĂ
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,RT        ,CRIME,CRIMINALITATE
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,RT        ,JURIES,JURAȚI
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,RT        ,JUSTICE,JUSTIȚIE
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,RT        ,LAW ENFORCEMENT,ORGANE DE APLICARE A LEGII
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,RT        ,LEGAL PROCEDURE,PROCEDURĂ JURIDICĂ
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,RT        ,LEGAL PROFESSION,PROFESIA DE JURIST
ADMINISTRATION OF JUSTICE,ADMINISTRAȚIA JUSTIȚIEI,RT        ,RIGHT TO JUSTICE,DREPTUL LA JUSTIȚIE
ADMINISTRATIVE AREAS,ZONE ADMINISTRATIVE,NT        ,CONSTITUENCIES,CIRCUMSCRIPȚIE ELECTORALĂ
ADMINISTRATIVE AREAS,ZONE ADMINISTRATIVE,RT        ,GOVERNMENT,GUVERN
ADMINISTRATIVE AREAS,ZONE ADMINISTRATIVE,RT        ,LOCAL GOVERNMENT,ADMINISTRAȚIA LOCALĂ
ADMINISTRATIVE HISTORY,ISTORIA ADMINISTRAȚIEI,BT        ,HISTORY,ISTORIE
ADMINISTRATIVE HISTORY,ISTORIA ADMINISTRAȚIEI,RT        ,ADMINISTRATION,ADMINISTRAȚIE
ADMINISTRATIVE HISTORY,ISTORIA ADMINISTRAȚIEI,RT        ,ADMINISTRATIVE REFORM,REFORMĂ ADMINISTRATIVĂ
ADMINISTRATIVE LAW,DREPT ADMINISTRATIV,BT        ,PUBLIC LAW,DREPT PUBLIC
ADMINISTRATIVE LAW,DREPT ADMINISTRATIV,RT        ,ADMINISTRATIVE TRIBUNALS,TRIBUNALE ADMINISTRATIVE
ADMINISTRATIVE LAW,DREPT ADMINISTRATIV,RT        ,OMBUDSMEN,OMBUDSMEN
ADMINISTRATIVE LAW,DREPT ADMINISTRATIV,RT        ,PUBLIC ENQUIRIES,INVESTIGAȚII OFICIALE
ADMINISTRATIVE REFORM,REFORMĂ ADMINISTRATIVĂ,BT        ,REFORM,REFORMĂ
ADMINISTRATIVE REFORM,REFORMĂ ADMINISTRATIVĂ,RT        ,ADMINISTRATION,ADMINISTRAȚIE
ADMINISTRATIVE REFORM,REFORMĂ ADMINISTRATIVĂ,RT        ,ADMINISTRATIVE HISTORY,ISTORIA ADMINISTRAȚIEI
ADMINISTRATIVE REFORM,REFORMĂ ADMINISTRATIVĂ,RT        ,OMBUDSMEN,OMBUDSMEN
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,NT        ,BUREAUCRACY,BIROCRAȚIE
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,NT        ,COMMITTEES,COMITETE
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,NT        ,GOVERNING BOARDS (EDUCATION),CONSILII DE ADMINISTRAȚIE (EDUCAȚIE)
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,NT        ,GOVERNING BOARDS (ORGANIZATIONS),CONSILII DE ADMINISTRAȚIE (ORGANIZAȚII)
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,RT        ,ADMINISTRATION,ADMINISTRAȚIE
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,RT        ,ADMINISTRATORS,ADMINISTRATORI
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,RT        ,CIVIL SERVANTS,FUNCȚIONARI PUBLICI
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,RT        ,ELECTED OFFICIALS,OFICIALI ALEȘI
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,RT        ,GOVERNMENT,GUVERN
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,RT        ,LOCAL GOVERNMENT,ADMINISTRAȚIA LOCALĂ
ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE,RT        ,ORGANIZATIONS,ORGANIZAȚII
ADMINISTRATIVE TRIBUNALS,TRIBUNALE ADMINISTRATIVE,BT        ,SPECIAL COURTS AND TRIBUNALS,INSTANȚE SPECIALE DE JUDECATĂ
ADMINISTRATIVE TRIBUNALS,TRIBUNALE ADMINISTRATIVE,RT        ,ADMINISTRATIVE LAW,DREPT ADMINISTRATIV
ADMINISTRATIVE TRIBUNALS,TRIBUNALE ADMINISTRATIVE,RT        ,PUBLIC ENQUIRIES,INVESTIGAȚII OFICIALE
ADMINISTRATORS,ADMINISTRATORI,BT        ,PERSONNEL,PERSONAL (RESURSE UMANE)
ADMINISTRATORS,ADMINISTRATORI,NT        ,CIVIL SERVANTS,FUNCȚIONARI PUBLICI
ADMINISTRATORS,ADMINISTRATORI,NT        ,EDUCATIONAL ADMINISTRATORS,ADMINISTRATORI ÎN DOMENIUL EDUCAȚIONAL
ADMINISTRATORS,ADMINISTRATORI,NT        ,LOCAL GOVERNMENT OFFICERS,FUNCȚIONARI ÎN ADMINISTRAȚIA LOCALĂ
ADMINISTRATORS,ADMINISTRATORI,RT        ,ADMINISTRATIVE STRUCTURES,STRUCTURI ADMINISTRATIVE
ADMINISTRATORS,ADMINISTRATORI,RT        ,MANAGERS,MANAGERI
ADMINISTRATORS,ADMINISTRATORI,RT        ,OCCUPATIONS,OCUPAȚII
ADMINISTRATORS,ADMINISTRATORI,RT        ,SPECIALISTS,SPECIALIȘTI
ADOLESCENCE,ADOLESCENȚĂ,BT        ,AGE GROUPS,GRUPURI DE VÂRSTĂ
ADOLESCENCE,ADOLESCENȚĂ,NT        ,ADOLESCENTS,ADOLESCENȚI
ADOLESCENT PSYCHOLOGY,PSIHOLOGIA ADOLESCENȚEI,BT        ,DEVELOPMENTAL PSYCHOLOGY,PSIHOLOGIA DEZVOLTĂRII
ADOLESCENT PSYCHOLOGY,PSIHOLOGIA ADOLESCENȚEI,RT        ,ADOLESCENTS,ADOLESCENȚI
ADOLESCENTS,ADOLESCENȚI,BT        ,ADOLESCENCE,ADOLESCENȚĂ
ADOLESCENTS,ADOLESCENȚI,RT        ,ADOLESCENT PSYCHOLOGY,PSIHOLOGIA ADOLESCENȚEI
ADOLESCENTS,ADOLESCENȚI,RT        ,PUBERTY,PUBERTATE
ADOPTED CHILDREN,COPII ADOPTAȚI,BT        ,ADOPTION,ADOPȚIE
ADOPTED CHILDREN,COPII ADOPTAȚI,BT        ,FAMILY MEMBERS,MEMBRII AI FAMILIEI
ADOPTED CHILDREN,COPII ADOPTAȚI,RT        ,ADOPTIVE PARENTS,PĂRINȚI ADOPTIVI
ADOPTED CHILDREN,COPII ADOPTAȚI,RT        ,CHILDREN,COPII
ADOPTED CHILDREN,COPII ADOPTAȚI,RT        ,FOSTER CHILDREN,RO_FOSTER CHILDREN
ADOPTED CHILDREN,COPII ADOPTAȚI,RT        ,PARENTS,PĂRINȚI
ADOPTION,ADOPȚIE,BT        ,CHILD WELFARE,BUNĂSTAREA COPILULUI
ADOPTION,ADOPȚIE,NT        ,ADOPTED CHILDREN,COPII ADOPTAȚI
ADOPTION,ADOPȚIE,RT        ,ADOPTIVE PARENTS,PĂRINȚI ADOPTIVI
ADOPTION,ADOPȚIE,RT        ,CHILD CARE,ÎNGRIJIREA COPIILOR
ADOPTION,ADOPȚIE,RT        ,FAMILIES,FAMILII
ADOPTION,ADOPȚIE,RT        ,FAMILY LAW,DREPTUL FAMILIEI
ADOPTION,ADOPȚIE,RT        ,FOSTER CARE,ÎNGRIJIRE ÎN CENTRE DE PLASAMENT
ADOPTION,ADOPȚIE,RT        ,SOCIAL WORK,ASISTENȚĂ SOCIALĂ
ADOPTIVE PARENTS,PĂRINȚI ADOPTIVI,BT        ,PARENTS,PĂRINȚI
ADOPTIVE PARENTS,PĂRINȚI ADOPTIVI,RT        ,ADOPTED CHILDREN,COPII ADOPTAȚI
ADOPTIVE PARENTS,PĂRINȚI ADOPTIVI,RT        ,ADOPTION,ADOPȚIE
ADULT EDUCATION,EDUCAȚIA ADULȚILOR,BT        ,EDUCATIONAL SYSTEMS,SISTEME EDUCAȚIONALE
ADULT EDUCATION,EDUCAȚIA ADULȚILOR,RT        ,FURTHER EDUCATION,CONTINUAREA EDUCAȚIEI
ADULT EDUCATION,EDUCAȚIA ADULȚILOR,RT        ,LIFELONG EDUCATION,EDUCAȚIE PE PARCURSUL VIEȚII
ADULT EDUCATION INSTITUTIONS,INSTITUȚII PENTRU EDUCAREA ADULȚILOR,BT        ,EDUCATIONAL INSTITUTIONS,INSTITUȚII DE ÎNVĂȚĂMÂNT
ADULT EDUCATION INSTITUTIONS,INSTITUȚII PENTRU EDUCAREA ADULȚILOR,RT        ,COMMUNITY CENTRES,CENTRE COMUNITARE
ADULT EDUCATION INSTITUTIONS,INSTITUȚII PENTRU EDUCAREA ADULȚILOR,RT        ,INSTITUTIONS,INSTITUȚII
