RO Preferred Term ,English PT
AUTOVEHICULE CU MOTOR,MOTOR VEHICLES
AUZ,HEARING
AVALANȘE,AVALANCHES
AVERE,WEALTH
AVOCAȚI,LAWYERS
AVORT (INDUS),ABORTION (INDUCED)
AVORT SPONTAN,MISCARRIAGE
BĂIEȚI,BOYS
BALANȚA PLĂȚILOR,BALANCE OF PAYMENTS
BĂNCI,BANKS
BANDĂ DE FRECVENȚE,BROADBAND
BANDE DE TINERI,YOUTH GANGS
BANI,MONEY
BANI DE BUZUNAR,POCKET MONEY
BARAJE,DAMS
BĂRBAȚI,MEN
BĂRBAȚI CĂSĂTORIȚI,MARRIED MEN
BĂRBAȚI CASNICI,HOUSE HUSBANDS
BĂRCI,BOATS
BĂTRÂNEȚE,OLD AGE
BAZE MILITARE,MILITARY BASES
BAZE NUCLEARE,NUCLEAR BASES
BAZINE DE ÎNOT,SWIMMING POOLS
BENEFICII ALE BOLNAVILOR ȘI PERSOANELOR CU DIZABILITĂȚI,SICKNESS AND DISABILITY BENEFITS
BENEFICII ALE PERSOANELOR CARE OFERĂ ÎNGRIJIRI,CARERS' BENEFITS
BENEFICII EXTRA-SALARIALE,FRINGE BENEFITS
BENEFICII FAMILIALE,FAMILY BENEFITS
BENEFICII ÎN CAZ DE ACCIDENTE DE MUNCĂ ȘI BOLI,OCCUPATIONAL ACCIDENTS AND DISEASES BENEFITS
BENEFICII PENTRU BĂTRÂNI,OLD AGE BENEFITS
BENEFICII PENTRU ȘOMERI,UNEMPLOYMENT BENEFITS
BENEFICII PENTRU PĂRINȚI,PARENTAL BENEFITS
BENEFICII PENTRU PENSIONARI,PENSION BENEFITS
BENEFICIU PE TERMEN SCURT ÎN CAZ DE BOALĂ,SICK PAY
BIBLIOTECARI,LIBRARIANS
BIBLIOTECI,LIBRARIES
BIBLIOTECI EDUCAȚIONALE,EDUCATIONAL LIBRARIES
BIBLIOTECI MOBILE,MOBILE LIBRARIES
BIBLIOTECI PUBLICE,PUBLIC LIBRARIES
BICICLETE,BICYCLES
BIGAMIE,BIGAMY
BILINGVISM,BILINGUALISM
BIOCHIMIE,BIOCHEMISTRY
BIOLOGIE,BIOLOGY
BIOLOGIE UMANĂ,HUMAN BIOLOGY
BIOTEHNOLOGIE,BIOTECHNOLOGY
BIROCRAȚIE,BUREAUCRACY
BISERICĂ,CHURCH
BISERICĂ ȘI EDUCAȚIE,CHURCH AND EDUCATION
BISERICĂ ȘI STAT,CHURCH AND STATE
BISEXUALITATE,BISEXUALITY
BOLI,DISEASES
BOLI ALE APARATULUI AUDITIV,EAR DISEASES
BOLI ALE APARATULUI RESPIRATOR,RESPIRATORY TRACT DISEASES
BOLI ALE BRONHIILOR,BRONCHIAL DISEASES
BOLI ALE CREIERULUI,BRAIN DISEASES
BOLI ALE SISTEMULUI IMUNITAR,IMMUNE SYSTEM DISEASES
BOLI ALE SISTEMULUI LIMFATIC,LYMPHATIC SYSTEM DISEASES
BOLI ALE SISTEMULUI NERVOS,NERVOUS SYSTEM DISEASES
BOLI ALE SISTEMULUI NERVOS CENTRAL,CENTRAL NERVOUS SYSTEM DISEASES
BOLI ALE TRACTULUI BILIAR,BILIARY TRACT DISEASES
BOLI ARTICULARE,JOINT DISEASES
BOLI BACTERIOLOGICE ȘI VIRALE,BACTERIAL AND VIRUS DISEASES
BOLI CARDIOVASCULARE,CARDIOVASCULAR DISEASES
BOLI CU TRANSMITERE SEXUALĂ,SEXUALLY TRANSMITTED DISEASES
BOLI DE FICAT,LIVER DISEASES
BOLI DE INIMĂ,HEART DISEASES
BOLI DE NUTRIȚIE ȘI DE METABOLISM,NUTRITIONAL AND METABOLIC DISEASES
BOLI DE PIELE,SKIN DISEASES
BOLI DE PLĂMÂNI,LUNG DISEASES
BOLI GENETICE,GENETIC DISORDERS
BOLI HEMATOLOGICE,HAEMATOLOGIC DISEASES
BOLI OCULARE,EYE DISEASES
BOLI OSOASE,BONE DISEASES
BOLI PROFESIONALE,OCCUPATIONAL DISEASES
BOLI REUMATICE,RHEUMATIC DISEASES
BOLI VASCULARE,VASCULAR DISEASES
BOLNAVI,SICK PERSONS
BOLNAVI ÎN FAZĂ TERMINALĂ,TERMINALLY ILL
BOLNAVI MENTAL,MENTALLY ILL
BONUSURI SALARIALE,BONUS PAYMENTS
BOTANICĂ,BOTANY
BOTEZURI,BAPTISMS
BREVETE,PATENTS
BRONȘITĂ,BRONCHITIS
BRONZARE,SUNTANNING
BRUTALITATE POLIȚIENEASCĂ,POLICE BRUTALITY
BUDISM,BUDDHISM
BUGETE,BUDGETS
BUGETE ALE AUTORITĂȚILOR LOCALE,LOCAL AUTHORITY BUDGETS
BUGETE ALE INSTITUȚIILOR DE ÎNVĂȚĂMÂNT,EDUCATIONAL INSTITUTION BUDGETS
BUGETE DE GOSPODĂRIE,HOUSEHOLD BUDGETS
BUGETE DE STAT,STATE BUDGETS
BUGETE DE TIMP,TIME BUDGETS
BUGETE PENTRU EDUCAȚIE,EDUCATIONAL BUDGETS
BUGETELE COMPANIILOR,COMPANY BUDGETS
BUNĂSTARE EDUCAȚIONALĂ,EDUCATIONAL WELFARE
BUNĂSTARE SOCIALĂ,SOCIAL WELFARE
BUNĂSTAREA COPILULUI,CHILD WELFARE
BUNICI,GRANDPARENTS
BUNURI,ASSETS
BUNURI DE CONSUM,CONSUMER GOODS
BURSE,SCHOLARSHIPS
BURUIENI,WEEDS
CĂDERE NERVOASĂ,NERVOUS BREAKDOWN
CADRE DIDACTICE DE ȘCOALĂ,SCHOOLTEACHERS
CADRE DIDACTICE PENTRU EDUCAȚIE SPECIALĂ,SPECIAL EDUCATION TEACHERS
CAFEA (RECOLTĂ),COFFEE (CROP)
CAI,HORSES
CĂI FERATE,RAILWAY TRACKS
CÂINI,DOGS
CÂINI ÎNSOȚITORI,GUIDE DOGS
CALAMITĂȚI,DISASTERS
CALAMITĂȚI, ACCIDENTE ȘI RISCURI
CĂLĂTORIE,TRAVEL
CĂLĂTORIE CU TRENUL,RAILWAY TRAVEL
CĂLĂTORIE MARITIMĂ,SEA TRAVEL
CĂLĂTORII AERIENE,AIR TRAVEL
CĂLĂTORII ÎN INTERES DE SERVICIU,BUSINESS TRIPS
CALCULATOARE,COMPUTERS
CALIFICĂRI,QUALIFICATIONS
CALIFICĂRI PROFESIONALE,OCCUPATIONAL QUALIFICATIONS
CALIFICĂRILE CADRELOR DIDACTICE,TEACHER QUALIFICATIONS
CALITATE,QUALITY
CALITATEA EDUCAȚIEI,QUALITY OF EDUCATION
CALITATEA MEDIULUI,ENVIRONMENTAL QUALITY
CALITATEA VIEȚII,QUALITY OF LIFE
CĂLUGĂRIȚE,NUNS
CAMERA DEPUTAȚILOR,LOWER HOUSE
CAMIOANE,TRUCKS
CAMPANII ELECTORALE,ELECTION CAMPAIGNS
CAMPANII POLITICE,POLITICAL CAMPAIGNS
CANALE,CANALS
CANALE DE TELEVIZIUNE,TELEVISION CHANNELS
CANALE RADIO,RADIO STATIONS
CANALIZARE,SEWAGE
CANCER,CANCER
CANCER DE PIELE,SKIN CANCER
CANCER PULMONAR,LUNG CANCER
CANDIDAȚI LA PREȘEDENȚIE,PRESIDENTIAL CANDIDATES
CANDIDAȚI PARLAMENTARI,PARLIAMENTARY CANDIDATES
CÂNTĂREȚI,SINGERS
CANTINE,CANTEENS
CANTITATE,QUANTITY
CAP (PARTE A CORPULUI),HEAD (BODY PART)
CAPACITATEA CINEMATOGRAFULUI,CINEMA CAPACITY
CAPACITATEA DE A CITI,READING READINESS
CAPACITATEA TEATRULUI,THEATRE CAPACITY
CAPI DE GOSPODĂRIE,HEADS OF HOUSEHOLD
CAPITAL,CAPITAL
CAPITALISM,CAPITALISM
CAPRE ,GOATS
CARACTERISTICILE CONDUCERII,MANAGERIAL CHARACTERISTICS
CĂRBUNE,COAL
CARIERĂ,CAREER
CARTIERE,NEIGHBOURHOODS
CARTOGRAFIE,CARTOGRAPHY
CĂSĂTORIE,MARRIAGE
CĂSĂTORII,WEDDINGS
CĂSĂTORII MIXTE,MIXED MARRIAGES
CĂSĂTORIT,MARRIED
CASE,HOUSES
CASE DE AMANET,PAWNSHOPS
CASE DE VACANȚĂ,SECOND HOMES
CATARACTĂ,CATARACTS
CÂȘTIG DE CAPITAL,CAPITAL GAINS
CÂȘTIGURI MEDII,AVERAGE EARNINGS
CATOLICISM,CATHOLICISM
CAU?IUNE,BAIL
CĂUTAREA UNUI LOC DE MUNCĂ,JOB HUNTING
CAUZE ALE MORȚII,CAUSES OF DEATH
CAZARE ASIGURATĂ PRIN LOCUL DE MUNCĂ (DE ANGAJATOR),TIED HOUSING
CAZARE ÎN APARTAMENT MOBILAT,FURNISHED ACCOMMODATION
CAZARE ÎN APARTAMENT NEMOBILAT,UNFURNISHED ACCOMMODATION
CAZARE TURISTICĂ,TOURIST ACCOMMODATION
CAZURI JUDECĂTOREȘTI,COURT CASES
CELEBRITĂȚI,CELEBRITIES
CELIBAT,SINGLEHOOD
CENTRALE NUCLEARE,NUCLEAR POWER STATIONS
CENTRE COMUNITARE,COMMUNITY CENTRES
CENTRE DE CERCETARE,RESEARCH CENTRES
CENTRE DE FORMARE,TRAINING CENTRES
CENTRE DE RECREERE ȘI PETRECERE A TIMPULUI LIBER,RECREATION AND LEISURE CENTRES
CENTRE DE SĂNĂTATE,HEALTH CLUBS
CENTRE MEDICALE,MEDICAL CENTRES
CENTRE SPORTIVE,SPORTS CENTRES
CENTRE URBANE,URBAN CENTRES
CENZURĂ,CENSORSHIP
CERBI ȘI CĂPRIOARE DE FERMĂ,DEER (FARMED)
CERCETARE,RESEARCH
CERCETARE AGRICOLĂ,AGRICULTURAL RESEARCH
CERCETARE APLICATĂ,APPLIED RESEARCH
CERCETARE CULTURALĂ,CULTURAL RESEARCH
CERCETARE DE PIAȚĂ,MARKET RESEARCH
CERCETARE ECONOMICĂ,ECONOMIC RESEARCH
CERCETARE ȘI DEZVOLTARE,RESEARCH AND DEVELOPMENT
CERCETARE ÎN COMUNICARE,COMMUNICATION RESEARCH
CERCETARE ÎN DOMENIUL PLANULUI DE ÎNVĂȚĂMÂNT,CURRICULUM RESEARCH
